Month,Price,DCA_Units_Total,DCA_Value_USD,Smash_Units,Smash_Value_USD,Combined_Units,Combined_Value_USD
0,94447.0,0.0,0.0,1.0587948796679618,99999.99999999999,1.0587948796679618,99999.99999999999
1,96219.70078293089,0.0062357292229954465,600.0,1.0587948796679618,101876.9265121506,1.0650306088909574,102476.9265121506
2,98025.6738568377,0.012356574674935662,1211.2615590729035,1.0587948796679618,103789.08155562135,1.0711514543428975,105000.34311469425
3,99865.54371817099,0.018364652913544673,1833.9960484066316,1.0587948796679618,105737.12634405644,1.0771595325815064,107571.12239246306
4,101739.9465847207,0.02426204150220851,2468.4188064709706,1.0587948796679618,107721.73450159423,1.0830569211701704,110190.1533080652
5,103649.5306156172,0.03005077972838622,3114.749213480536,1.0587948796679618,109743.59229580314,1.088845659396348,112858.34150928368
6,105594.95613546138,0.03573286930878527,3773.2107672553548,1.0587948796679618,111803.39887498954,1.094527748976747,115576.6096422449
7,107576.89586266167,0.04131027508154517,4444.031160505291,1.0587948796679618,113901.86650995971,1.100105154749507,118345.89767046503
8,109596.03514205661,0.04678492568566866,5127.44235956505,1.0587948796679618,116039.72084031955,1.1055798053536305,121167.1631998846
9,111653.07218190377,0.052158714227935436,5823.680684606967,1.0587948796679618,118217.70112539706,1.1109535938958972,124041.38181000402
10,113748.71829531659,0.057433498937528984,6532.986891359349,1.0587948796679618,120436.56049987461,1.1162283786054907,126969.54739123395
11,115883.6981462329,0.06261110380860295,7255.606254358598,1.0587948796679618,122697.06623421908,1.1214059834765648,129952.67248857768
12,118058.75000000013,0.06769331923100916,7991.788651763912,1.0587948796679618,125000.00000000013,1.126488198898971,132991.78865176404
13,120274.62597866374,0.0726819026094055,8741.78865176391,1.0587948796679618,127346.15814018839,1.1314767822773673,136087.9467919523
14,122532.09232104727,0.07757857897095767,9505.865600605042,1.0587948796679618,129736.35194452683,1.1363734586389196,139242.2175451319
15,124831.92964771387,0.08238504156184487,10284.283712272201,1.0587948796679618,132171.40793007068,1.1411799212298066,142455.69164234286
16,127174.933230901,0.08710295243277594,11077.312159852627,1.0587948796679618,134652.1681269929,1.1458978321007378,145729.48028684553
17,129561.91326952162,0.0917339430137181,11885.225168614583,1.0587948796679618,137179.49036975406,1.1505288226816799,149064.71553836865
18,131993.69516932685,0.09627961467803733,12708.302110833107,1.0587948796679618,139754.24859373705,1.1550744943459992,152462.55070457017
19,134471.1198283272,0.10074153929624526,13546.82760239553,1.0587948796679618,142377.33313744978,1.159536418964207,155924.1607398453
20,136995.0439275709,0.10512125977954405,14401.091601220229,1.0587948796679618,145049.65105039955,1.163916139447506,159450.7426516198
21,139566.34022737984,0.10942029061335747,15271.389507522625,1.0587948796679618,147772.12640674645,1.1682151702813193,163043.51591426908
22,142185.89786914585,0.1136401183810323,16158.022265963102,1.0587948796679618,150545.7006248434,1.172434998048994,166703.72289080647
23,144854.62268279123,0.11778220227789146,17061.29646971216,1.0587948796679618,153371.33279277396,1.1765770819458532,170432.6292624861
24,147573.43750000026,0.12184797461581642,17981.524466468803,1.0587948796679618,156250.00000000026,1.1806428542837781,174231.52446646904
25,150343.28247332977,0.1258388413185335,18919.024466468807,1.0587948796679618,159182.6976752356,1.1846337209864952,178101.72214170438
26,153165.1154013092,0.12975618240777526,19874.12065252022,1.0587948796679618,162170.43993065864,1.1885510620757371,182044.56058317889
27,156039.91205964243,0.13360135248048502,20847.143292104174,1.0587948796679618,165214.25991258846,1.192396232148447,186061.40320469264
28,158968.66653862636,0.13737568117722987,21838.428851579705,1.0587948796679618,168315.21015874125,1.1961705608451916,190153.63901032094
29,161952.39158690214,0.1410804736419836,22848.320112532154,1.0587948796679618,171474.36296219268,1.1998753533099453,194322.68307472483
30,164992.11896165868,0.14471701097343898,23877.166290305307,1.0587948796679618,174692.81074217145,1.2035118906414008,198569.97703247675
31,168088.89978540913,0.1482865506680053,24925.32315475834,1.0587948796679618,177971.66642181235,1.2070814303359672,202896.9895765707
32,171243.80490946374,0.15179032705464435,25993.15315328921,1.0587948796679618,181312.06381299958,1.2105852067226062,207305.2169662888
33,174457.92528422494,0.15522955172169509,27081.025536167213,1.0587948796679618,184715.1580084332,1.2140244313896569,211796.18354460044
34,177732.37233643245,0.15860541393583497,28189.316484217812,1.0587948796679618,188182.12578105438,1.2174002936037969,216371.44226527223
35,181068.2783534892,0.16191908105332228,29318.40923890414,1.0587948796679618,191714.16599096762,1.220713960721284,221032.57522987176
36,184466.79687500052,0.16517169892366226,30468.69423484995,1.0587948796679618,195312.50000000052,1.223966578591624,225781.19423485047
37,187929.10309166243,0.1683643922858359,31640.56923484995,1.0587948796679618,198978.37209404472,1.2271592719537978,230618.94132889467
38,191456.3942516367,0.1714982651572293,32834.439467414224,1.0587948796679618,202713.04991332354,1.230293144825191,235547.48938073774
39,195049.89007455326,0.1745744012153971,34050.717766894166,1.0587948796679618,206517.8248907358,1.233369280883359,240568.54265762997
40,198710.83317328317,0.177593864172793,35289.82471623858,1.0587948796679618,210394.01269842678,1.2363887438407548,245683.83741466538
41,202440.4894836279,0.18055769814459596,36552.18879242914,1.0587948796679618,214342.9537027411,1.2393525778125578,250895.14249517024
42,206240.14870207358,0.18346692800976028,37838.24651464559,1.0587948796679618,218366.01342771456,1.242261807677722,256204.25994236014
43,210111.12473176164,0.18632255976541334,39148.442595211876,1.0587948796679618,222464.58302726567,1.245117439433375,261613.02562247752
44,214054.7561368299,0.18912558087472456,40483.23009337547,1.0587948796679618,226640.07976624972,1.2479204605426863,267123.3098596252
45,218072.4066052814,0.19187696060836515,41843.07057197297,1.0587948796679618,230893.94751054177,1.250671840276327,272737.01808251475
46,222165.4654205408,0.19457765037967703,43228.43425703621,1.0587948796679618,235227.65722631823,1.2533725300476388,278456.09148335445
47,226335.34794186172,0.1972285840736669,44639.80020039412,1.0587948796679618,239642.70748870974,1.2560234637416288,284282.5076891039
48,230583.49609375084,0.19983067836993887,46077.65644532638,1.0587948796679618,244140.62500000087,1.2586255580379007,290218.2814453272
49,234911.37886457823,0.2023848330596778,47542.50019532639,1.0587948796679618,248722.9651175561,1.2611797127276396,296265.4653128825
50,239320.49281454607,0.2048919313567925,49034.83798603173,1.0587948796679618,253391.31239165462,1.2636868110247543,302426.15037768637
51,243812.3625931918,0.20735284020332675,50555.18586038166,1.0587948796679618,258147.28111341997,1.2661477198712885,308702.4669738016
52,248388.5414666042,0.20976841056924345,52104.06954706218,1.0587948796679618,262992.5158730337,1.2685632902372053,315096.5854200959
53,253050.6118545351,0.21213947774668582,53682.02464230038,1.0587948796679618,267928.69212842657,1.2709343574146477,321610.71677072695
54,257800.1858775922,0.21446686163881726,55289.59679507093,1.0587948796679618,272957.5167846434,1.273261741306779,328247.1135797143
55,262638.9059147023,0.2167513670433397,56927.341895778794,1.0587948796679618,278080.72878408234,1.2755462467113015,335008.0706798611
56,267568.44517103763,0.21899378393078867,58595.82626848329,1.0587948796679618,283300.0997078124,1.2777886635987505,341895.9259762957
57,272590.508256602,0.22119488771770113,60295.626866730156,1.0587948796679618,288617.43438817747,1.279989767385663,348913.06125490763
58,277706.8317756762,0.22335543953475065,62027.331473059225,1.0587948796679618,294034.571532898,1.2821503192027124,356061.9030059572
59,282919.1849273274,0.22547618648994253,63791.53890225661,1.0587948796679618,299553.38436088746,1.2842710661579044,363344.92326314404
60,288229.3701171888,0.2275578619269601,65588.85920842193,1.0587948796679618,305175.78125000134,1.2863527415949219,370764.64045842324
61,293639.223580723,0.22960118567875124,67419.91389592193,1.0587948796679618,310903.70639694534,1.288396065346713,378323.62029286724
62,299150.6160181828,0.231606864316443,69285.3361343036,1.0587948796679618,316739.14048956847,1.2904017439844049,386024.4766238721
63,304765.45324148994,0.2335755913936704,71185.77097724102,1.0587948796679618,322684.1013917752,1.2923704710616322,393869.8723690162
64,310485.67683325545,0.23550804768640377,73121.87558559167,1.0587948796679618,328740.6448412924,1.2943029273543656,401862.52042688406
65,316313.2648181691,0.23740490142835766,75094.31945463944,1.0587948796679618,334910.8651605335,1.2961997810963195,410005.18461517297
66,322250.2323469905,0.2392668085420628,77103.78464560263,1.0587948796679618,341196.8959808045,1.2980616882100247,418300.68062640715
67,328298.6323933781,0.24109441286568076,79150.96602148746,1.0587948796679618,347600.91098010325,1.2998892925336425,426751.8770015907
