Parameter,Variation,Value Used,Final Smash Value (USD),Final DCA Value (USD),Final Combined Value (USD)
smash_buy_capital_usd,-10%,90000.0,1309672.3705530318,433216.16932691826,1742888.53987995
smash_buy_capital_usd,Baseline,100000.0,1455191.522836702,433216.16932691826,1888407.6921636201
smash_buy_capital_usd,+10%,110000.00000000001,1600710.6751203726,433216.16932691826,2033926.844447291
cagr,-10%,0.225,1141913.1242070626,366536.33270066965,1508449.4569077322
cagr,Baseline,0.25,1455191.522836702,433216.16932691826,1888407.6921636201
cagr,+10%,0.275,1845534.7083545881,512091.1120745881,2357625.820429176
monthly_dca_usd,-10%,540.0,1455191.522836702,389894.55239422666,1845086.0752309288
monthly_dca_usd,Baseline,600.0,1455191.522836702,433216.16932691826,1888407.6921636201
monthly_dca_usd,+10%,660.0,1455191.522836702,476537.78625960986,1931729.309096312
