Parameter,Variation,Value Used,Final Smash Value (USD),Final DCA Value (USD),Final Combined Value (USD)
smash_buy_capital_usd,-25%,75000.0,1091393.6421275267,433216.16932691826,1524609.8114544451
smash_buy_capital_usd,Baseline,100000.0,1455191.522836702,433216.16932691826,1888407.6921636201
smash_buy_capital_usd,+25%,125000.0,1818989.4035458777,433216.16932691826,2252205.5728727956
cagr,-25%,0.1875,786327.41884595,285496.1228580727,1071823.5417040226
cagr,Baseline,0.25,1455191.522836702,433216.16932691826,1888407.6921636201
cagr,+25%,0.3125,2613314.901860033,657939.9369714457,3271254.8388314787
monthly_dca_usd,-25%,450.0,1455191.522836702,324912.12699518877,1780103.6498318908
monthly_dca_usd,Baseline,600.0,1455191.522836702,433216.16932691826,1888407.6921636201
monthly_dca_usd,+25%,750.0,1455191.522836702,541520.2116586481,1996711.7344953502
